SeriesCode,Development relevance,Statistical concept and methodology,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Limitations and exceptions,Notes from original source,General comments
DT.NTR.MLAT.CD,,,"PPG, multilateral (NTR, current US$)",,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net transfers,Annual,,Sum,,,
DT.NTR.MLTC.CD,,,"PPG, multilateral concessional (NTR, current US$)",,"Public and publicly guaranteed multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Concessional debt is defined as loans with an original grant element of 25 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 10 percent. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net transfers,Annual,,Sum,,,
DT.NTR.OFFT.CD,,,"PPG, official creditors (NTR, current US$)",,"Public and publicly guaranteed debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net transfers,Annual,,Sum,,,
DT.NTR.PBND.CD,,,"PPG, bonds (NTR, current US$)",,Public and publicly guaranteed debt from bonds that are either publicly issued or privately placed. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net transfers,Annual,,Sum,,,
DT.NTR.PCBK.CD,,,"PPG, commercial banks (NTR, current US$)",,Public and publicly guaranteed commercial bank loans from private banks and other private financial institutions. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net transfers,Annual,,Sum,,,
DT.NTR.PNGB.CD,,,"PNG, bonds (NTR, current US$)",,Nonguaranteed long-term debt from bonds that are privately placed. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net transfers,Annual,,Sum,,,
DT.NTR.PNGC.CD,,,"PNG, commercial banks and other creditors (NTR, current US$)",,Nonguaranteed long-term commercial bank loans from private banks and other private financial institutions. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net transfers,Annual,,Sum,,,
DT.NTR.PROP.CD,,,"PPG, other private creditors (NTR, current US$)",,"Public and publicly guaranteed other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net transfers,Annual,,Sum,,,
DT.NTR.PRVT.CD,,,"PPG, private creditors (NTR, current US$)",,"Public and publicly guaranteed debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Net transfers are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Net transfers,Annual,,Sum,,,
DT.ODA.ALLD.CD,,,Net official development assistance and official aid received (current US$),"Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients. Net official aid refers to aid flows (net of repayments) from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. Data are in current U.S. dollars.","Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent). Net official aid refers to aid flows (net of repayments) from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. Data are in current U.S. dollars.","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.",Economic Policy & Debt: Official development assistance,Annual,,Sum,,,
DT.ODA.ALLD.KD,,,Net official development assistance and official aid received (constant 2011 US$),"Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients. Net official aid refers to aid flows (net of repayments) from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. Data are in constant 2009 U.S. dollars.","Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent). Net official aid refers to aid flows (net of repayments) from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. Data are in constant 2011 U.S. dollars.","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.",Economic Policy & Debt: Official development assistance,Annual,,Sum,,,
DT.ODA.OATL.CD,"DAC exists to help its members coordinate their development assistance and to encourage the expansion and improve the effectiveness of the aggregate resources flowing to recipient economies. In this capacity DAC monitors the flow of all financial resources, but its main concern is official development assistance (ODA). Grants or loans to countries and territories on the DAC list of aid recipients have to meet three criteria to be counted as ODA. They are provided by official agencies, including state and local governments, or by their executive agencies. They promote economic development and welfare as the main objective. And they are provided on concessional financial terms (loans must have a grant element of at least 25 percent, calculated at a discount rate of 10 percent). The DAC Statistical Reporting Directives provide the most detailed explanation of this definition and all ODA-related rules.

DAC statistics aim to meet the needs of policy makers in the field of development co-operation, and to provide a means of assessing the comparative performance of aid donors. DAC statistics are used extensively in the Peer Reviews conducted for each DAC member every four to five years, and have a wide range of other applications. They are used to measure donors' compliance with various international recommendations in the field of development co-operation (terms, volume), and are indispensable for analysis of virtually every aspect of development and development co-operation.

From 1960 to 1990, official development assistance (ODA) flows from DAC countries to developing countries rose steadily, but then fell sharply in the 1990s. Since then, a series of high-profile international conferences have boosted ODA flows. In the mid-2000s, ODA once again rose due to exceptional debt relief operations for Iraq and Nigeria. Despite the recent financial crisis, ODA flows have continued to rise and in the early 2010s reached their highest real level ever at about US $130 billion. This demonstrates effectiveness of aid pledges, especially when they are made on the basis of adequate resources and backed by strong political will.","Net official aid refers to aid flows (net of repayments) from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. Data are in current U.S. dollars.

The flows of official and private financial resources from the members of the Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) to developing economies are compiled by DAC, based principally on donor reports on bilateral programs by DAC members using standard questionnaires issued by the DAC Secretariat. DAC has 24 members - 23 individual economies and 1 multilateral institution (European Union institutions). 

Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of DAC, by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent). Data are in current U.S. dollars.

Total net disbursements is the sum of grants, capital subscriptions (deposit basis), recoveries and total net loans and other long-term capital.

The ODA excludes nonconcessional flows from official creditors, which are classified as ""other official flows,"" and aid for military and anti-terrorism purposes. Transfer payments to private individuals, such as pensions, reparations, and insurance payouts, are in general not counted. In addition to financial flows, ODA includes technical cooperation, most expenditures for peacekeeping under UN mandates and assistance to refugees, contributions to multilateral institutions such as the United Nations and its specialized agencies, and concessional funding to multilateral development banks.

Net official development assistance (ODA) per capita consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent).

The flows of official and private financial resources from the members of the Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) to developing economies are compiled by DAC, based principally on reporting by DAC members using standard questionnaires issued by the DAC Secretariat.

Flows are transfers of resources, either in cash or in the form of commodities or services measured on a cash basis. Short-term capital transactions (with one year or less maturity) are not counted. Repayments of the principal (but not interest) of ODA loans are recorded as negative flows. Proceeds from official equity investments in a developing country are reported as ODA, while proceeds from their later sale are recorded as negative flows.

The official development assistance (ODA) estimates are published annually at the end of the calendar year in International Development Statistics (IDS) database. Data are in current U.S. dollars.",Net official aid received (current US$),,"Net official aid refers to aid flows (net of repayments) from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. Data are in current U.S. dollars.","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.",Economic Policy & Debt: Official development assistance,Annual,,Sum,"Data on ODA is for aid-receiving countries. The data cover loans and grants from DAC member countries, multilateral organizations, and non-DAC donors. They do not reflect aid given by recipient countries to other developing countries. As a result, some countries that are net donors are shown as aid recipients. The indicator does not distinguish types of aid (program, project, or food aid; emergency assistance; or post-conflict peacekeeping assistance), which may have different effects on the economy.

Because the indicator relies on information from donors, it is not necessarily consistent with information recorded by recipients in the balance of payments, which often excludes all or some technical assistance - particularly payments to expatriates made directly by the donor. Similarly, grant commodity aid may not always be recorded in trade data or in the balance of payments. Moreover, DAC statistics exclude aid for military and antiterrorism purposes.

The nominal values may overstate the real value of aid to recipients. Changes in international prices and exchange rates can reduce the purchasing power of aid. Tying aid, still prevalent though declining in importance, also tends to reduce its purchasing power. Tying requires recipients to purchase goods and services from the donor country or from a specified group of countries. Such arrangements prevent a recipient from misappropriating or mismanaging aid receipts, but they may also be motivated by a desire to benefit donor country suppliers.

The aggregates refer to World Bank classifications of economies and therefore may differ from those of the OECD.",,
DT.ODA.OATL.KD,,,Net official aid received (constant 2011 US$),,"Net official aid refers to aid flows (net of repayments) from official donors to countries and territories in part II of the DAC list of recipients: more advanced countries of Central and Eastern Europe, the countries of the former Soviet Union, and certain advanced developing countries and territories. Official aid is provided under terms and conditions similar to those for ODA. Part II of the DAC List was abolished in 2005. The collection of data on official aid and other resource flows to Part II countries ended with 2004 data. Data are in constant 2011 U.S. dollars.","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.",Economic Policy & Debt: Official development assistance,Annual,,Sum,,,
DT.ODA.ODAT.CD,"DAC exists to help its members coordinate their development assistance and to encourage the expansion and improve the effectiveness of the aggregate resources flowing to recipient economies. In this capacity DAC monitors the flow of all financial resources, but its main concern is official development assistance (ODA). Grants or loans to countries and territories on the DAC list of aid recipients have to meet three criteria to be counted as ODA. They are provided by official agencies, including state and local governments, or by their executive agencies. They promote economic development and welfare as the main objective. And they are provided on concessional financial terms (loans must have a grant element of at least 25 percent, calculated at a discount rate of 10 percent). The DAC Statistical Reporting Directives provide the most detailed explanation of this definition and all ODA-related rules.

DAC statistics aim to meet the needs of policy makers in the field of development co-operation, and to provide a means of assessing the comparative performance of aid donors. DAC statistics are used extensively in the Peer Reviews conducted for each DAC member every four to five years, and have a wide range of other applications. They are used to measure donors' compliance with various international recommendations in the field of development co-operation (terms, volume), and are indispensable for analysis of virtually every aspect of development and development co-operation.

From 1960 to 1990, official development assistance (ODA) flows from DAC countries to developing countries rose steadily, but then fell sharply in the 1990s. Since then, a series of high-profile international conferences have boosted ODA flows. In the mid-2000s, ODA once again rose due to exceptional debt relief operations for Iraq and Nigeria. Despite the recent financial crisis, ODA flows have continued to rise and in the early 2010s reached their highest real level ever at about USD 130 billion. This demonstrates effectiveness of aid pledges, especially when they are made on the basis of adequate resources and backed by strong political will.","The flows of official and private financial resources from the members of the Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) to developing economies are compiled by DAC, based principally on donor reports on bilateral programs by DAC members using standard questionnaires issued by the DAC Secretariat. DAC has 24 members - 23 individual economies and 1 multilateral institution (European Union institutions). 

Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of DAC, by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent). Data are in current U.S. dollars.

Total net disbursements is the sum of grants, capital subscriptions (deposit basis), recoveries and total net loans and other long-term capital.

The ODA excludes nonconcessional flows from official creditors, which are classified as ""other official flows,"" and aid for military and anti-terrorism purposes. Transfer payments to private individuals, such as pensions, reparations, and insurance payouts, are in general not counted. In addition to financial flows, ODA includes technical cooperation, most expenditures for peacekeeping under UN mandates and assistance to refugees, contributions to multilateral institutions such as the United Nations and its specialized agencies, and concessional funding to multilateral development banks.


Flows are transfers of resources, either in cash or in the form of commodities or services measured on a cash basis. Short-term capital transactions (with one year or less maturity) are not counted. Repayments of the principal (but not interest) of ODA loans are recorded as negative flows. Proceeds from official equity investments in a developing country are reported as ODA, while proceeds from their later sale are recorded as negative flows.

The official development assistance (ODA) estimates are published annually at the end of the calendar year in International Development Statistics (IDS) database.",Net official development assistance received (current US$),Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients. Data are in current U.S. dollars.,"Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent). Data are in current U.S. dollars.","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline.",Economic Policy & Debt: Official development assistance,Annual,,Sum,"Data on ODA is for aid-receiving countries. The data cover loans and grants from DAC member countries, multilateral organizations, and non-DAC donors. They do not reflect aid given by recipient countries to other developing countries. As a result, some countries that are net donors are shown as aid recipients. The indicator does not distinguish types of aid (program, project, or food aid; emergency assistance; or post-conflict peacekeeping assistance), which may have different effects on the economy.

Because the indicator relies on information from donors, it is not necessarily consistent with information recorded by recipients in the balance of payments, which often excludes all or some technical assistance - particularly payments to expatriates made directly by the donor. Similarly, grant commodity aid may not always be recorded in trade data or in the balance of payments. Moreover, DAC statistics exclude aid for military and antiterrorism purposes.

The nominal values may overstate the real value of aid to recipients. Changes in international prices and exchange rates can reduce the purchasing power of aid. Tying aid, still prevalent though declining in importance, also tends to reduce its purchasing power. Tying requires recipients to purchase goods and services from the donor country or from a specified group of countries. Such arrangements prevent a recipient from misappropriating or mismanaging aid receipts, but they may also be motivated by a desire to benefit donor country suppliers.

The aggregates refer to World Bank classifications of economies and therefore may differ from those of the OECD.",,
DT.ODA.ODAT.GI.ZS,"The ratio of aid to gross capital formation provides a measure of recipient country's dependency on aid. Ratios of aid are generally much higher in Sub-Saharan Africa than in other regions, particularly in the 1980s. High ratios are due only in part to aid flows. Many African countries saw severe erosion in their terms of trade in the 1980s, along with weak policies, falling incomes, imports, and investment. Thus the increase in aid dependency ratios reflects events affecting both the numerator (aid) and the denominator (gross capital formation).

DAC exists to help its members coordinate their development assistance and to encourage the expansion and improve the effectiveness of the aggregate resources flowing to recipient economies. In this capacity DAC monitors the flow of all financial resources, but its main concern is official development assistance (ODA). Grants or loans to countries and territories on the DAC list of aid recipients have to meet three criteria to be counted as ODA. They are provided by official agencies, including state and local governments, or by their executive agencies. They promote economic development and welfare as the main objective. And they are provided on concessional financial terms (loans must have a grant element of at least 25 percent, calculated at a discount rate of 10 percent). The DAC Statistical Reporting Directives provide the most detailed explanation of this definition and all ODA-related rules.

DAC statistics aim to meet the needs of policy makers in the field of development co-operation, and to provide a means of assessing the comparative performance of aid donors. DAC statistics are used extensively in the Peer Reviews conducted for each DAC member every four to five years, and have a wide range of other applications. They are used to measure donors' compliance with various international recommendations in the field of development co-operation (terms, volume), and are indispensable for analysis of virtually every aspect of development and development co-operation.

From 1960 to 1990, official development assistance (ODA) flows from DAC countries to developing countries rose steadily, but then fell sharply in the 1990s. Since then, a series of high-profile international conferences have boosted ODA flows. In the mid-2000s, ODA once again rose due to exceptional debt relief operations for Iraq and Nigeria. Despite the recent financial crisis, ODA flows have continued to rise and in the early 2010s reached their highest real level ever at about US $130 billion. This demonstrates effectiveness of aid pledges, especially when they are made on the basis of adequate resources and backed by strong political will.","Net official development assistance (ODA) per capita consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent).Gross capital formation consists of outlays on additions to the conomy's fixed assets plus net changes in the level of inventories. It is generally obtained from industry reports of acquisitions and distinguishes only the broad categories of capital formation. Data on capital formation may be estimated from direct surveys of enterprises and administrative records or based on the commodity flow methods using data from production, trade and construction activities.

The flows of official and private financial resources from the members of the Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) to developing economies are compiled by DAC, based principally on reporting by DAC members using standard questionnaires issued by the DAC Secretariat.

The ODA excludes nonconcessional flows from official creditors, which are classified as ""other official flows,"" and aid for military and anti-terrorism purposes. Transfer payments to private individuals, such as pensions, reparations, and insurance payouts, are in general not counted. In addition to financial flows, ODA includes technical cooperation, most expenditures for peacekeeping under UN mandates and assistance to refugees, contributions to multilateral institutions such as the United Nations and its specialized agencies, and concessional funding to multilateral development banks.

Flows are transfers of resources, either in cash or in the form of commodities or services measured on a cash basis. Short-term capital transactions (with one year or less maturity) are not counted. Repayments of the principal (but not interest) of ODA loans are recorded as negative flows. Proceeds from official equity investments in a developing country are reported as ODA, while proceeds from their later sale are recorded as negative flows.

The official development assistance estimates are published annually at the end of the calendar year in International Development Statistics (IDS) database. Net ODA received as a percent of gross capital formation is calculated using values in U.S. dollars converted at official exchange rates.",Net ODA received (% of gross capital formation),Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients.,"Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent).","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline. World Bank gross capital formation estimates are used for the denominator.",Economic Policy & Debt: Official development assistance,Annual,,Weighted average,"Data on ODA is for aid-receiving countries. The data cover loans and grants from DAC member countries, multilateral organizations, and non-DAC donors. They do not reflect aid given by recipient countries to other developing countries. As a result, some countries that are net donors are shown as aid recipients. The indicator does not distinguish types of aid (program, project, or food aid; emergency assistance; or post-conflict peacekeeping assistance), which may have different effects on the economy.

Ratio of aid to gross capital formation provides measures of recipient country's dependency on aid. But care must be taken in drawing policy conclusions. For foreign policy reasons some countries have traditionally received large amounts of aid. Thus aid dependency ratio may reveal as much about a donor's interests as about a recipient's needs. The quality of data on government fixed capital formation depends on the quality of government accounting systems which tend to be weak in developing countries. Measures of fixed capital formation by households and corporations - particularly capital outlays by small, unincorporated enterprises - are usually unreliable. Estimates of changes in inventories are rarely complete but usually include the most important activities of commodities.

Because the indicator relies on information from donors, it is not necessarily consistent with information recorded by recipients in the balance of payments, which often excludes all or some technical assistance - particularly payments to expatriates made directly by the donor. Similarly, grant commodity aid may not always be recorded in trade data or in the balance of payments. Moreover, DAC statistics exclude aid for military and antiterrorism purposes.

The aggregates refer to World Bank classifications of economies and therefore may differ from those of the OECD.",,
DT.ODA.ODAT.GN.ZS,"The ratio of aid to GNI provides a measure of recipient country's dependency on aid. Ratios of aid are generally much higher in Sub-Saharan Africa than in other regions, and they increased in the 1980s. High ratios are due only in part to aid flows. Many African countries saw severe erosion in their terms of trade in the 1980s, along with weak policies, falling incomes, imports, and investment. Thus the increase in aid dependency ratios reflects events affecting both the numerator (aid) and the denominator (GNI).

DAC exists to help its members coordinate their development assistance and to encourage the expansion and improve the effectiveness of the aggregate resources flowing to recipient economies. In this capacity DAC monitors the flow of all financial resources, but its main concern is official development assistance (ODA). Grants or loans to countries and territories on the DAC list of aid recipients have to meet three criteria to be counted as ODA. They are provided by official agencies, including state and local governments, or by their executive agencies. They promote economic development and welfare as the main objective. And they are provided on concessional financial terms (loans must have a grant element of at least 25 percent, calculated at a discount rate of 10 percent). The DAC Statistical Reporting Directives provide the most detailed explanation of this definition and all ODA-related rules.

DAC statistics aim to meet the needs of policy makers in the field of development co-operation, and to provide a means of assessing the comparative performance of aid donors. DAC statistics are used extensively in the Peer Reviews conducted for each DAC member every four to five years, and have a wide range of other applications. They are used to measure donors' compliance with various international recommendations in the field of development co-operation (terms, volume), and are indispensable for analysis of virtually every aspect of development and development co-operation.

From 1960 to 1990, official development assistance (ODA) flows from DAC countries to developing countries rose steadily, but then fell sharply in the 1990s. Since then, a series of high-profile international conferences have boosted ODA flows. In the mid-2000s, ODA once again rose due to exceptional debt relief operations for Iraq and Nigeria. Despite the recent financial crisis, ODA flows have continued to rise and in the early 2010s reached their highest real level ever at about US $130 billion. This demonstrates effectiveness of aid pledges, especially when they are made on the basis of adequate resources and backed by strong political will.","The ODA excludes nonconcessional flows from official creditors, which are classified as ""other official flows,"" and aid for military and anti-terrorism purposes. Transfer payments to private individuals, such as pensions, reparations, and insurance payouts, are in general not counted. In addition to financial flows, ODA includes technical cooperation, most expenditures for peacekeeping under UN mandates and assistance to refugees, contributions to multilateral institutions such as the United Nations and its specialized agencies, and concessional funding to multilateral development banks.

The flows of official and private financial resources from the members of the Development Assistance Committee (DAC) of the Organisation for Economic Co-operation and Development (OECD) to developing economies are compiled by DAC, based principally on reporting by DAC members using standard questionnaires issued by the DAC Secretariat.

The ODA excludes nonconcessional flows from official creditors, which are classified as ""other official flows,"" and aid for military and anti-terrorism purposes. Transfer payments to private individuals, such as pensions, reparations, and insurance payouts, are in general not counted. In addition to financial flows, ODA includes technical cooperation, most expenditures for peacekeeping under UN mandates and assistance to refugees, contributions to multilateral institutions such as the United Nations and its specialized agencies, and concessional funding to multilateral development banks.

Flows are transfers of resources, either in cash or in the form of commodities or services measured on a cash basis. Short-term capital transactions (with one year or less maturity) are not counted. Repayments of the principal (but not interest) of ODA loans are recorded as negative flows. Proceeds from official equity investments in a developing country are reported as ODA, while proceeds from their later sale are recorded as negative flows.

The official development assistance estimates are published annually at the end of the calendar year in International Development Statistics (IDS) database. Net ODA received as a percent of GNI is calculated using values in U.S. dollars converted at official exchange rates.",Net ODA received (% of GNI),Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients.,"Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent).","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline. World Bank GNI estimates are used for the denominator.",Economic Policy & Debt: Official development assistance,Annual,,Weighted average,"Data on ODA is for aid-receiving countries. The data cover loans and grants from DAC member countries, multilateral organizations, and non-DAC donors. They do not reflect aid given by recipient countries to other developing countries. As a result, some countries that are net donors are shown as aid recipients. The indicator does not distinguish types of aid (program, project, or food aid; emergency assistance; or post-conflict peacekeeping assistance), which may have different effects on the economy.

Ratio of aid to gross national income (GNI) provides measures of recipient country's dependency on aid. But care must be taken in drawing policy conclusions. For foreign policy reasons some countries have traditionally received large amounts of aid. Thus aid dependency ratio may reveal as much about a donor's interests as about a recipient's needs. 

Because the indicator relies on information from donors, it is not necessarily consistent with information recorded by recipients in the balance of payments, which often excludes all or some technical assistance - particularly payments to expatriates made directly by the donor. Similarly, grant commodity aid may not always be recorded in trade data or in the balance of payments. Moreover, DAC statistics exclude aid for military and antiterrorism purposes.

The aggregates refer to World Bank classifications of economies and therefore may differ from those of the OECD.",,
